"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","ウェブサイト","所在地","正式名称","略称","設立年月日","英語名称","組織形態","前身","法人番号","所長","上位組織","人数","所管","本部所在地","予算","設置者","設立","研究科","学校種別"
"東京工芸大学","[東京工芸大学風工学研究センター] 日本では数少ない、写真学科・メディア画像学科を設置した大学である。","https://ja.wikipedia.org/wiki/東京工芸大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","https://www.t-kougei.ac.jp/","","","","","","","","","","","","","東京都中野区本町2丁目","","学校法人東京工芸大学","","工学研究科芸術学研究科","私立"
"愛知大学","[愛知大学三遠南信地域連携研究センター] 第二次世界大戦 の終結に伴い、 東亜同文会 が創立した 東亜同文書院大学 が 中華民国 に接収されることになった。その際に学長を務めていた 本間喜一 （後に初代 最高裁判所 事務総長 ）が中心となり、学生・教職員を受け入れる大学として、 1946年 、 愛知県 豊橋市 に設立された  中部地区唯一の旧制法文系大学である   。初代学長は東亜同文会理事で 慶應義塾 塾長 などを歴任した 歴史家 、 法学者 （ 法学博士 ）、 政治家 の 林毅陸 。","https://ja.wikipedia.org/wiki/愛知大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度10分28.96秒東経136度55分39.29秒","http://www.aichi-u.ac.jp/","","","","","","","","","","","","","愛知県名古屋市東区筒井2-10-31北緯35度10分28.96秒東経136度55分39.29秒﻿ / ﻿北緯35.1747111度 東経136.9275806度﻿ /35.1747111; 136.9275806座標:北緯35度10分28.96秒東経136度55分39.29秒﻿ / ﻿北緯35.1747111度 東経136.9275806度﻿ /35.1747111; 136.9275806","","学校法人愛知大学","","法学研究科経済学研究科経営学研究科中国研究科国際コミュニケーション研究科法務研究科（法科大学院）文学研究科","私立"
"中部大学","[中部大学中部高等学術研究所国際GISセンター] 中部大学は、1938年に設立された名古屋第一工学校をルーツ  とし、1964年に中部工業大学  として創設された。工学部を中心に発展した大学であるが、1984年以降、文系を含む多彩な学部が開設され、現在は7学部の総合大学となり、学部学生数は約11,000人。  このうち、毎年200人を越える学生を海外の大学等へ派遣している。  中部大学の教育は、緑に囲まれた春日井市の丘陵に位置するワンキャンパスで行われており、多分野の学生が交流し、就職の面倒見の良いことでも知られる。","https://ja.wikipedia.org/wiki/中部大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度16分26.4秒東経137度0分49.5秒","https://www.chubu.ac.jp/","","","","","","","","","","","","","愛知県春日井市松本町1200北緯35度16分26.4秒東経137度0分49.5秒﻿ / ﻿北緯35.274000度 東経137.013750度﻿ /35.274000; 137.013750座標:北緯35度16分26.4秒東経137度0分49.5秒﻿ / ﻿北緯35.274000度 東経137.013750度﻿ /35.274000; 137.013750","","学校法人中部大学","","工学研究科応用生物学研究科国際人間学研究科経営情報学研究科生命健康科学研究科","私立"
"藤田医科大学","[藤田医科大学総合医科学研究所] 創立時には、 名古屋保健衛生大学 という大学名だったが、設立者である 藤田啓介 ・藤田学園 総長 （ 1925年 3月21日 - 1995年 6月11日 、 名古屋帝国大学 医学部卒、元 岩手医科大学 助教授 ・元 愛知学院大学 歯学部 教授 ）の名前および学園名に因んで命名された。後に藤田学園保健衛生大学、藤田保健衛生大学と改称、2018年10月10日、大学創立50周年を機に、「保健衛生」よりも、より 医療 の 臨床 場面をイメージし易いようにと、藤田医科大学に改称した（英語名は変更なし）  。","https://ja.wikipedia.org/wiki/藤田医科大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度4分10.16秒東経137度0分4.8秒","https://www.fujita-hu.ac.jp/","","","","","","","","","","","","","愛知県豊明市沓掛町田楽ヶ窪1番地98北緯35度4分10.16秒東経137度0分4.8秒﻿ / ﻿北緯35.0694889度 東経137.001333度﻿ /35.0694889; 137.001333座標:北緯35度4分10.16秒東経137度0分4.8秒﻿ / ﻿北緯35.0694889度 東経137.001333度﻿ /35.0694889; 137.001333","","学校法人藤田学園","","医学研究科保健学研究科","私立"
"立命館大学","[立命館大学アート・リサーチセンター] 「立命館」の由来は、『 孟子 』盡心章句（じんしんしょうく）にある「殀寿貳（ようじゅたが）わず、身を修めて以て之を俟（ま）つは、命を立つる所以（ゆえん）なり」（人間の寿命は天命によって決められており、修養に努めてその天命を待つのが人間の本分である）から採られた。","https://ja.wikipedia.org/wiki/立命館大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度01分57秒 東経135度43分27秒","http://www.ritsumei.ac.jp/","","","","","","","","","","","","","京都府京都市中京区西ノ京朱雀町1","","学校法人立命館","","法学研究科文学研究科映像研究科社会学研究科国際関係研究科言語教育情報研究科先端総合学術研究科経営学研究科政策科学研究科人間科学研究科テクノロジー・マネジメント研究科経営管理研究科経済学研究科理工学研究科情報理工学研究科生命科学研究科薬学研究科スポーツ健康科学研究科法務研究科教職研究科","私立"
"京都造形芸術大学","[京都造形芸術大学舞台芸術研究センター] 旧名称は京都造形芸術大学   。 1977年 に短大に改組し「 京都芸術短期大学 」を開設  。 1991年 に現在の4年制大学を開設し、 2000年 には短大を吸収合併しているほか、こども芸術大学や通信教育部の開設などの大学経営なども行っている   。","https://ja.wikipedia.org/wiki/京都造形芸術大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度2分13.9秒東経135度47分32.1秒","https://www.kyoto-art.ac.jp/","","","","","","","","","","","","","京都府京都市左京区北白川瓜生山2-116北緯35度2分13.9秒東経135度47分32.1秒﻿ / ﻿北緯35.037194度 東経135.792250度﻿ /35.037194; 135.792250座標:北緯35度2分13.9秒東経135度47分32.1秒﻿ / ﻿北緯35.037194度 東経135.792250度﻿ /35.037194; 135.792250","","学校法人瓜生山学園","","芸術研究科（通学課程／通信教育部）","私立"
"東京理科大学","[東京理科大学東京理科大学総合研究院火災科学研究センター東京理科大学総合研究院光触媒国際研究センター] 東京理科大学 は、 1881年 （ 明治 14年）創立の 東京物理学校 を主な前身に、 1949年 （ 昭和 24年）に設立された、 理学 ・ 工学 ・ 薬学 ・ 経営学 をはじめとする分野を包括する 理工系 総合大学 である。","https://ja.wikipedia.org/wiki/東京理科大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度41分57.8秒東経139度44分29秒","https://www.tus.ac.jp/","","","","","","","","","","","","","東京都新宿区神楽坂一丁目3北緯35度41分57.8秒東経139度44分29秒﻿ / ﻿北緯35.699389度 東経139.74139度﻿ /35.699389; 139.74139座標:北緯35度41分57.8秒東経139度44分29秒﻿ / ﻿北緯35.699389度 東経139.74139度﻿ /35.699389; 139.74139","","学校法人東京理科大学","","理学研究科工学研究科総合化学研究科科学教育研究科薬学研究科理工学研究科先進工学研究科経営学研究科生命科学研究科イノベーション研究科国際火災科学研究科","私立"
"早稲田大学","[早稲田大学早稲田大学イスラーム地域研究機構早稲田大学坪内博士記念演劇博物館早稲田大学各務記念材料技術研究所] 大隈重信 が 明治十四年の政変 による下野後に設立した 東京専門学校 を前身とする  。 1920年 （ 大正 9年）に日本の私立大学では 慶應義塾大学 などと共に最も古い段階で 大学令 に基づく大学となった（詳しくは 旧制大学 参照）。 2019年 時点で、10の 学術院 のもと 13学部 ・ 25研究科（大学院） を設置している  。国際交流が盛んで、特に アジア からの外国人 留学生 が多い。","https://ja.wikipedia.org/wiki/早稲田大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度42分37秒東経139度43分18.2秒","早稲田大学","","","","","","","","","","","","","東京都新宿区戸塚町一丁目104番地（新宿区西早稲田一丁目6番1号）北緯35度42分37秒東経139度43分18.2秒﻿ / ﻿北緯35.71028度 東経139.721722度﻿ /35.71028; 139.721722座標:北緯35度42分37秒東経139度43分18.2秒﻿ / ﻿北緯35.71028度 東経139.721722度﻿ /35.71028; 139.721722","","学校法人早稲田大学","","政治学研究科経済学研究科法学研究科文学研究科商学研究科経営管理研究科基幹理工学研究科創造理工学研究科先進理工学研究科教育学研究科人間科学研究科社会科学研究科スポーツ科学研究科アジア太平洋研究科日本語教育研究科情報生産システム研究科法務研究科ファイナンス研究科会計研究科環境・エネルギー研究科教職研究科国際コミュニケーション研究科","私立"
"早稲田大学坪内博士記念演劇博物館","[早稲田大学坪内博士記念演劇博物館] 早稲田大学坪内博士記念演劇博物館 （わせだだいがくつぼうちはかせきねんえんげきはくぶつかん）は、 東京都 新宿区 の 早稲田大学 構内にある博物館。公式な通称（略称）は エンパク （enpaku）  。他に 演劇博物館 （えんげき はくぶつかん）、 演博 （えんぱく）  とも略される。","https://ja.wikipedia.org/wiki/早稲田大学坪内博士記念演劇博物館","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度42分35.9秒東経139度43分10.2秒","","〒169-8050東京都新宿区西早稲田1-6-1","","","","","","","","","","","","","","","","",""
"神奈川大学","[神奈川大学日本常民文化研究所] 建学の精神は","https://ja.wikipedia.org/wiki/神奈川大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度29分6秒東経139度37分14秒","https://www.kanagawa-u.ac.jp/","","","","","","","","","","","","","神奈川県横浜市神奈川区六角橋3-27-1北緯35度29分6秒東経139度37分14秒﻿ / ﻿北緯35.48500度 東経139.62056度﻿ /35.48500; 139.62056座標:北緯35度29分6秒東経139度37分14秒﻿ / ﻿北緯35.48500度 東経139.62056度﻿ /35.48500; 139.62056","","学校法人神奈川大学","","法学研究科経済学研究科経営学研究科外国語学研究科人間科学研究科理学研究科工学研究科歴史民俗資料学研究科法務研究科（法科大学院）","私立"
"大阪商業大学","[大阪商業大学JGSS研究センター] 大阪城東商業学校 （1928年設置）が 1947年 9月 に 交野女子専門学校 を統合。 城東専門学校 を経て、 1949年 に大阪城東大学として設置された。1952年に大阪商業大学と改称。","https://ja.wikipedia.org/wiki/大阪商業大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","https://ouc.daishodai.ac.jp/","","","","","","","","","","","","","大阪府東大阪市御厨栄町4-1-10","","学校法人谷岡学園","","地域政策学研究科","私立"
"関西大学","[関西大学ソシオネットワーク戦略研究機構] 関西大学は、 江戸時代 後期の 1825年 （ 文政 8年）、四国高松出身の儒学者、 藤沢東畡 （1794-1864）によって大坂市中に開かれた漢学塾「 泊園書院 」を源流とし、 1886年 に関西初の法律学校として大阪府 大阪市 西区 京町堀 の 願宗寺 に開かれた 関西法律学校 を起源に持つ大学である  。","https://ja.wikipedia.org/wiki/関西大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯34度46分13.2秒東経135度30分29.5秒","https://www.kansai-u.ac.jp/","","","","","","","","","","","","","大阪府吹田市山手町三丁目3番35号北緯34度46分13.2秒東経135度30分29.5秒﻿ / ﻿北緯34.770333度 東経135.508194度﻿ /34.770333; 135.508194座標:北緯34度46分13.2秒東経135度30分29.5秒﻿ / ﻿北緯34.770333度 東経135.508194度﻿ /34.770333; 135.508194","","学校法人関西大学","","法学研究科文学研究科経済学研究科商学研究科社会学研究科総合情報学研究科理工学研究科外国語教育学研究科心理学研究科社会安全研究科東アジア文化研究科ガバナンス研究科人間健康研究科法科大学院会計専門職大学院臨床心理専門職大学院","私立"
"同志社大学","[同志社大学赤ちゃん学研究センター] 同志社大学の淵源は、 1875年 （ 明治 8年）、 京都 ・ 山城 の地に開かれた「官許・ 同志社英学校 」という 私塾 であり、 明治の六大教育家 の一人である キリスト新教 改革教会 組合派 （ カルバン主義 プロテスタント 会衆派 ）の 清教徒 だった 新島襄 が創設した学び舎である  。 1920年 （ 大正 9年）に日本の私立大学では 早稲田大学 ・ 慶應義塾大学 についで、最も古い段階で 大学令 に基づく大学となった（詳しくは 旧制大学 参照）。京都府内に2つの校地を有し、現在は14学部・16研究科（大学院）、学生およそ3万人を擁する大規模大学である。新島襄と 大隈重信 は関係が深く、早稲田大学とは親密な関係を築いている。なお同志社大学と早稲田大学は1年間の国内交換留学制度を結んでおり、双方の学校から留学生が訪れている。","https://ja.wikipedia.org/wiki/同志社大学","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度1分47.1秒東経135度45分38.7秒","https://www.doshisha.ac.jp/","","","","","","","","","","","","","京都府京都市上京区今出川通烏丸東入玄武町601番地北緯35度1分47.1秒東経135度45分38.7秒﻿ / ﻿北緯35.029750度 東経135.760750度﻿ /35.029750; 135.760750座標:北緯35度1分47.1秒東経135度45分38.7秒﻿ / ﻿北緯35.029750度 東経135.760750度﻿ /35.029750; 135.760750","","学校法人同志社","","神学研究科文学研究科社会学研究科法学研究科経済学研究科商学研究科総合政策科学研究科文化情報学研究科理工学研究科生命医科学研究科スポーツ健康科学研究科心理学研究科グローバル・スタディーズ研究科司法研究科ビジネス研究科脳科学研究科","私立"
"北海道大学電子科学研究所","[東北大学多元物質科学研究所、北海道大学電子科学研究所、東京工業大学化学生命科学研究所、大阪大学産業科学研究所、九州大学先導物質化学研究所[2] 「光科学」「物質科学」「生命科学」の3部門に加え、「附属グリーンナノテクノロジー研究センター」「附属社会創造数学研究センター」に分かれて研究を行っている。","https://ja.wikipedia.org/wiki/北海道大学電子科学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"東京大学情報基盤センター","[東京大学情報基盤センター、北海道大学情報基盤センター、東北大学サイバーサイエンスセンター、東京工業大学学術国際情報センター、名古屋大学情報基盤センター、京都大学学術情報メディアセンター、大阪大学サイバーメディアセンター、九州大学情報基盤研究開発センター[3] 東京大学情報基盤センター （とうきょうだいがくじょうほうきばんセンター、英称：Information Technology Center, The University of Tokyo、略称：ITC）は、 東京大学 の全国共同利用施設  で、学内の研究・教育に欠かせない情報基盤を設計・導入し、安定運用することを使命としているセンターである。","https://ja.wikipedia.org/wiki/東京大学情報基盤センター","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"情報・システム研究機構","[北海道大学北極域研究センター、情報・システム研究機構、国立極地研究所、国際北極環境研究センター、海洋研究開発機構、北極環境変動総合研究センター[4] 大学共同利用機関法人情報・システム研究機構 （じょうほう・システムけんきゅうきこう、 英 ：Research Organization of Information and Systems）は、 東京都 港区 虎ノ門 に本部をおく 大学共同利用機関法人 である。","https://ja.wikipedia.org/wiki/情報・システム研究機構","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度39分49.57秒東経139度44分38.71秒","http://www.rois.ac.jp/","日本〒105-0001東京都港区虎ノ門四丁目3番13号ヒューリック神谷町ビル2階北緯35度39分49.57秒東経139度44分38.71秒﻿ / ﻿北緯35.6637694度 東経139.7440861度﻿ /35.6637694; 139.7440861","大学共同利用機関法人情報・システム研究機構","ROIS","2004年","Research Organization of Information and Systems","大学共同利用機関法人","","1012805001385","","","役員7人* 機構長 1人* 理事 4人* 監事 2人教員762人* うち常勤 227人* うち非常勤 535人職員573人* うち常勤 173人* うち非常勤 400人（2014年5月1日時点）","文部科学省","","289億円（2008年度実績）* 運営費交付金 203億円*科研費17億円* 受託研究費 16億円","","","",""
"東京医科歯科大学生体材料工学研究所","[東京医科歯科大学生体材料工学研究所、東京工業大学未来産業技術研究所、広島大学ナノデバイス・バイオ融合科学研究所、静岡大学電子工学研究所[5] 東京医科歯科大学生体材料工学研究所 （とうきょういかしかだいがく せいたいざいりょうこうがくけんきゅうじょ）は 東京医科歯科大学 の附置 研究所 であり、疾病を分子レベルで制御するための 生体材料 、生体デバイス・システム、医薬を創製することを目的とする研究所である。","https://ja.wikipedia.org/wiki/東京医科歯科大学生体材料工学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","日本〒101-0062東京都千代田区神田駿河台2-3-10","東京医科歯科大学生体材料工学研究所","生材研、IBB","1951年4月1日","Institute of Biomaterials and BioengineeringTokyo Medical and Dental University","大学附置研究所","東京医科歯科大学歯科材料研究所","","影近弘之","","","","","","","","",""
"広島大学原爆放射線医科学研究所","[広島大学原爆放射線医科学研究所、長崎大学原爆後障害医療研究所、福島県立医科大学ふくしま国際医療科学研究センター[6] 広島大学原爆放射線医科学研究所 （ひろしまだいがくげんばくほうしゃせんいかがくけんきゅうしょ）は、 広島県 広島市 南区 霞 （ 広島大学 霞キャンパス）にある 広島大学 の 附置研究所 である。","https://ja.wikipedia.org/wiki/広島大学原爆放射線医科学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"総合地球環境学研究所","[総合地球環境学研究所（人間文化研究機構[8] 総合地球環境学研究所 （そうごうちきゅうかんきょうがくけんきゅうしょ、英：Research Institute for Humanity and Nature）は、 京都府 京都市 北区 にある、地球環境問題を自然科学のほか人文科学・社会科学など総合的な観点から研究する国立研究所。略称は 地球研  。 大学共同利用機関法人 人間文化研究機構 を構成する。公式キャラクターは、大根と犬を掛け合わせたような見た目をしている「ちきゅうけん」。","https://ja.wikipedia.org/wiki/総合地球環境学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度4分21.8秒東経135度45分51.3秒","http://www.chikyu.ac.jp/","日本〒603-8047京都府京都市北区上賀茂本山457番地4北緯35度4分21.8秒東経135度45分51.3秒﻿ / ﻿北緯35.072722度 東経135.764250度﻿ /35.072722; 135.764250","総合地球環境学研究所","地球研","2001年4月1日","Research Institute for Humanity and Nature","大学共同利用機関","","","安成哲三(2013年-)","人間文化研究機構","51人(2009年10月1日現在)*所長 1人*研究教育職員 27人*事務・技術職員 23人","","","24.5億円(2008年度)*運営費交付金 21.7億円*受託研究等 0.6億円*その他収入 2.2億円","","","",""
"国立国語研究所","[国立国語研究所（同）] 1948年 の設立以降、 統計学 的手法・ 電子計算機 を用いた語彙調査、方言調査による 言語地図 の作成、日本語と 外国語 の 対照（比較）研究 、など日本語に関する各種の調査・研究を実施してきている  。","https://ja.wikipedia.org/wiki/国立国語研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度42分39秒東経139度24分36秒","https://www.ninjal.ac.jp/","日本〒190-8561東京都立川市緑町10番地の2北緯35度42分39秒東経139度24分36秒﻿ / ﻿北緯35.71083度 東経139.41000度﻿ /35.71083; 139.41000","国立国語研究所","国語研NINJAL","1948年12月20日","National Institute for Japanese Language and Linguistics","大学共同利用機関","","","田窪行則","大学共同利用機関法人人間文化研究機構","54人（2020年4月1日現在）所長 1人教授14人准教授10人助教・研究員 8人事務・技術職員 21人","文部科学省","","10.7億円（2020年度）","","","",""
"国際日本文化研究センター","[国際日本文化研究センター（同）] 国際日本文化研究センター （こくさいにほんぶんかけんきゅうセンター、英：International Research Center for Japanese Studies）は、 人間文化研究機構 を構成する、 京都府 京都市 西京区 にある 大学共同利用機関 。1987年5月、 中曽根康弘 が「日本学」を創造させるために設立に尽力した  。","https://ja.wikipedia.org/wiki/国際日本文化研究センター","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯34度59分17.1秒東経135度40分0.9秒","https://www.nichibun.ac.jp/","日本〒610－1192京都市西京区御陵大枝山町3-2北緯34度59分17.1秒東経135度40分0.9秒﻿ / ﻿北緯34.988083度 東経135.666917度﻿ /34.988083; 135.666917","国際日本文化研究センター","日文研、Nichibunken","1987年","International Research Center for Japanese Studies","大学共同利用機関","","","井上章一（2020年4月 - ）","人間文化研究機構","常勤職員 61人（2009年10月1日）* 所長 1人* 研究教育職員 27人* 事務職員・技術職員 33人非常勤研究員 10人大学院生 15人（総研大）","文部科学省","","","","","",""
"国立天文台","[国立天文台（自然科学研究機構）] 日本国外の ハワイ観測所 などいくつかの観測所や、 三鷹キャンパス などで研究活動をしており、総称として国立天文台と呼ばれる。本部は 東京都 三鷹市 の 三鷹キャンパス 内にある。","https://ja.wikipedia.org/wiki/国立天文台","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度40分30.7秒東経139度32分16.2秒","https://www.nao.ac.jp/","日本〒181-8588東京都三鷹市大沢2-21-1北緯35度40分30.7秒東経139度32分16.2秒﻿ / ﻿北緯35.675194度 東経139.537833度﻿ /35.675194; 139.537833","国立天文台","NAOJ","1988年","National Astronomical Observatory of Japan","大学共同利用機関","東京天文台（1888年）","","","自然科学研究機構","常勤職員257人（2009年3月31日時点）1人（台長）132人（研究教育職）34人（研究技師）90人（その他）大学院生計58人（2009年3月31日時点）25人（総研大）31人（東京大学）2人（東邦大学）","文部科学省","","154億円（2008年度実績）* 運営公費金等 140億円*科研費等補助金 14億円","","","",""
"核融合科学研究所","[核融合科学研究所（同）] 核融合科学研究所 （かくゆうごうかがくけんきゅうじょ、英：National Institute for Fusion Science）は、 大学共同利用機関法人 自然科学研究機構 を構成する研究所の一つ。核融合科学分野における国立の研究所で、 岐阜県 土岐市 にある。 大学共同利用機関 として各地の大学から研究施設の共同利用が行われている。 総合研究大学院大学 をはじめとする様々な大学院の学生に対する教育も実施している。","https://ja.wikipedia.org/wiki/核融合科学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度19分28.9秒東経137度9分58.6秒","http://www.nifs.ac.jp/","日本〒509-5292岐阜県土岐市下石町322-6北緯35度19分28.9秒東経137度9分58.6秒﻿ / ﻿北緯35.324694度 東経137.166278度﻿ /35.324694; 137.166278座標:北緯35度19分28.9秒東経137度9分58.6秒﻿ / ﻿北緯35.324694度 東経137.166278度﻿ /35.324694; 137.166278","核融合科学研究所","NIFS","1989年5月","National Institute for Fusion Science","大学共同利用機関","","","竹入康彦","自然科学研究機構","計216人（2008年度）* 1人（機関の長）* 128人（研究教育職員）* 46人（技術職員）* 41人（事務職員）","文部科学省","","計112億円（2008年度実績）* 108億円（運営費交付金等）* 3億円（外部資金・科研費）","","","",""
"基礎生物学研究所","[基礎生物学研究所（同）] 基礎生物学分野における日本の中核的な国立研究所である。生物現象の本質を分子細胞レベルで解明することを目標に、幅広い研究活動を行っている。国家事業である ナショナルバイオリソースプロジェクト の メダカ 分野を担当している。","https://ja.wikipedia.org/wiki/基礎生物学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯34度56分59.5秒東経137度9分54.9秒","http://www.nibb.ac.jp/","日本〒444-8585愛知県岡崎市明大寺町字西郷中38北緯34度56分59.5秒東経137度9分54.9秒﻿ / ﻿北緯34.949861度 東経137.165250度﻿ /34.949861; 137.165250座標:北緯34度56分59.5秒東経137度9分54.9秒﻿ / ﻿北緯34.949861度 東経137.165250度﻿ /34.949861; 137.165250","基礎生物学研究所","基生研、NIBB","1977年5月2日","National Institute for Basic Biology","大学共同利用機関","","","阿形清和","自然科学研究機構","職員* 研究教育職員 42人* 技術職員 28人（有期雇用除く 2009年4月1日時点）院生（2008年度）* 27人（総研大）* 10人（その他大学）","文部科学省","","34億円（2008年度）* 運営費交付金等 22億円*科研費等11億円","","","",""
"生理学研究所","[生理学研究所（同）] 国家事業である ナショナルバイオリソースプロジェクト の ニホンザル 分野を担当している。","https://ja.wikipedia.org/wiki/生理学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯34度56分55.9秒東経137度9分52.7秒","http://www.nips.ac.jp/","日本〒444-8585愛知県岡崎市明大寺町字西郷中38北緯34度56分55.9秒東経137度9分52.7秒﻿ / ﻿北緯34.948861度 東経137.164639度﻿ /34.948861; 137.164639座標:北緯34度56分55.9秒東経137度9分52.7秒﻿ / ﻿北緯34.948861度 東経137.164639度﻿ /34.948861; 137.164639","生理学研究所","生理研、NIPS","1977年5月2日","National Institute for Physiological Sciences","大学共同利用機関","","","鍋倉淳一","自然科学研究機構","職員* 研究教育職員 56人* 技術職員 29人（有期雇用除く 2009年4月1日時点）院生（2008年度）* 59人（総研大生理学専攻）* 13人（その他大学）","文部科学省","","35億円（2008年度）* 運営費交付金等 22億円*科研費等13億円","","","",""
"分子科学研究所","[分子科学研究所（同）] 1975年 4月22日 に、 愛知教育大学 の旧図書館を仮庁舎とし、分子構造研究系、電子構造研究系、分子集団研究系の3つの研究系と機器センターをもつ研究所として設立された。分子科学分野における日本の中核的な国立研究所である。 総合研究大学院大学 の大学院生に対する教育も実施している。全国の大学が実験機器を相互利用するプロジェクトである 大学連携研究設備ネットワーク の全国事務局が置かれている。","https://ja.wikipedia.org/wiki/分子科学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯34度56分51.7秒東経137度9分59.1秒","http://www.ims.ac.jp/","日本〒444-8585愛知県岡崎市明大寺町字西郷中38北緯34度56分51.7秒東経137度9分59.1秒﻿ / ﻿北緯34.947694度 東経137.166417度﻿ /34.947694; 137.166417座標:北緯34度56分51.7秒東経137度9分59.1秒﻿ / ﻿北緯34.947694度 東経137.166417度﻿ /34.947694; 137.166417","分子科学研究所","分子研、IMS","1975年4月22日","Institute for Molecular Science","大学共同利用機関","","","川合眞紀","自然科学研究機構","職員* 研究教育職員 70人* 技術職員 35人（有期雇用除く 2009年4月1日時点）院生（2008年度）* 34人（総研大）* 12人（その他大学）","文部科学省","","45億円（2008年度）* 運営費交付金等 33億円*科研費等11億円","","","",""
"素粒子原子核研究所","[素粒子原子核研究所（高エネルギー加速器研究機構）] 物質構造科学研究所 、 加速器研究施設 、共通基盤研究施設と並び、 高エネルギー加速器研究機構 により設置される 大学共同利用機関 のひとつである  。主として、 素粒子物理学 、 原子核物理学 および 宇宙物理学 の 研究 を行う 研究所 である   。 理論物理学 と 実験物理学 の双方の視点から幅広く研究を行っている   。実験物理学に関しては、 ビーム 衝突型 加速器 や大強度 陽子 加速器を用いた 実験 だけでなく、それにかかわる実験装置や実験手法の 開発 なども幅広く手掛けている  。","https://ja.wikipedia.org/wiki/素粒子原子核研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","素粒子原子核研究所 | KEK","日本〒305-0801茨城県つくば市大穂1-1","素粒子原子核研究所","IPNS","1997年4月1日","Institute of Particle and Nuclear Studies","大学共同利用機関","高エネルギー物理学研究所東京大学原子核研究所東京大学中間子科学研究センター","","徳宿克夫","大学共同利用機関法人高エネルギー加速器研究機構","","文部科学省","","","","","",""
"物質構造科学研究所","[物質構造科学研究所（同）] 物質構造科学研究所 （ぶっしつこうぞうかがくけんきゅうじょ）は、 高エネルギー加速器研究機構 に設置されている 研究所 である。 大学共同利用機関 となっている。","https://ja.wikipedia.org/wiki/物質構造科学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"国立極地研究所","[国立極地研究所（情報・システム研究機構）] 国立極地研究所 （こくりつきょくちけんきゅうしょ  、英称：National Institute of Polar Research）は、 大学共同利用機関法人 情報・システム研究機構 を構成する 大学共同利用機関 。 南極 、 北極 及びその周辺地域（ 極地 、 南極圏 や 北極圏 ）に関して、物理学や生物学など様々な科学的観点から観測、実験、総合研究を行っている。","https://ja.wikipedia.org/wiki/国立極地研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯35度42分44.6秒東経139度24分32秒","https://www.nipr.ac.jp/","日本〒190-8518東京都立川市緑町10番地の3北緯35度42分44.6秒東経139度24分32秒﻿ / ﻿北緯35.712389度 東経139.40889度﻿ /35.712389; 139.40889","国立極地研究所","極地研、NIPR","1973年9月29日","National Institute of Polar Research","大学共同利用機関","国立科学博物館極地研究センター","","中村卓司","大学共同利用機関法人情報・システム研究機構","*職員227人（2018年度）*院生20人（総研大、2018年度）*特別共同利用研究員12人（他大院生、2016年度）","文部科学省","","計約36.9億円（2018年4月1日現在）*交付金等32.8億円*科研費2.9億円*受託事業等収入1.2億円*自己収入138万円","","","",""
