"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","ウェブサイト","所在地","正式名称","略称","設立年月日","英語名称","組織形態","前身","法人番号","所長","上位組織","人数","所管","本部所在地","予算","設置者","設立","研究科","学校種別"
"ソレイユ (シンクロトロン)","[ソレイユ (シンクロトロン)] ソレイユ （ 仏 SOLEIL 、『 太陽 』の意）は フランス ・ パリ 近郊の シンクロトロン 実験施設である。2003年に着工し2006年5月14日に初の電子加速試験を実施した  。 SOLEIL は Source optimisée de lumière d’énergie intermédiaire du LURE の頭文字である。","https://ja.wikipedia.org/wiki/ソレイユ_(シンクロトロン)","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯48度42分36秒 東経2度08分37秒","","","","","","","","","","","","","","","","","","",""
"電子情報技術研究所","[電子情報技術研究所] 電子情報技術研究所 （ フランス語 ： Laboratoire d'électronique des technologies de l'information 、 略称 ： LETI ）は、 フランス共和国 イゼール県 グルノーブル に本部を置くマイクロエレクトロニクスとナノテクノロジーの応用研究を実施する世界有数の規模を持つ研究所である。","https://ja.wikipedia.org/wiki/電子情報技術研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯45度11分39.98秒東経5度42分18秒","http://www.leti.fr/en","フランスグルノーブル北緯45度11分39.98秒東経5度42分18秒﻿ / ﻿北緯45.1944389度 東経5.70500度﻿ /45.1944389; 5.70500","Laboratoire d'électronique des technologies de l'information","LETI","1967年","","非営利研究機関","","","","原子力庁","1600名","","","フランス政府、パートナー企業、EUの研究開発プロジェクトから","","","",""
"パリ天体物理学研究所","[パリ天体物理学研究所] 研究の主力テーマは 銀河系外天文学 と 宇宙論 である。","https://ja.wikipedia.org/wiki/パリ天体物理学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯48度50分06秒 東経2度20分07秒","","","","","","","","","","","","","","","","","","",""
"パリ都市研究所","[パリ都市研究所] パリ都市研究所 、 パリ第12大学内パリ・ユルバニスム研究所 （IUP:Institut d’Urbanisme de Paris、パリ・アーバン・インスティテュート、パリ都市計画研究所　パリ大学都市研究所とも訳述される)は、フランスにある都市研究機関。高等教育機関。","https://ja.wikipedia.org/wiki/パリ都市研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フランス極東学院","[フランス極東学院] 1968年 以来、 パリ16区 シャイヨ宮 傍らのウィルソン大統領大通り ( fr ) 22番地の「アジア館（フランス語：Maison de l'Asie)」に本部を置き、 京都 はじめ ポンディシェリ などアジア各地に研究センターや支所を配置。人類学・考古学・建築学・歴史学・美術史・言語学・哲学・碑文研究など東洋学専門家約40名が所属する。","https://ja.wikipedia.org/wiki/フランス極東学院","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フランス国立科学研究センター","[フランス国立科学研究センター] フランス国立科学研究センター （フランスこくりつかがくけんきゅうセンター、 仏 ： Centre national de la recherche scientifique 、 CNRS ）は、 1939年 10月19日設立の フランス 最大の政府 基礎研究 機関である。教職員総数31,637人（うち正規教職員24,552人、正規研究者11,137人、博士課程学生1,639人）。予算は約33億 ユーロ  。","https://ja.wikipedia.org/wiki/フランス国立科学研究センター","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯48度50分51.5秒東経2度15分50.4秒","http://www.cnrs.fr","フランス,パリ16区3 rue Michel-Ange 75016 Paris北緯48度50分51.5秒東経2度15分50.4秒﻿ / ﻿北緯48.847639度 東経2.264000度﻿ /48.847639; 2.264000","Centre national de la recherche scientifique","CNRS","1939年10月19日","","科学技術的性格公施設法人(EPST)","","","アントワーヌ・プチ(2018年2月24日 -)","","31,637","国民教育・高等教育・研究省","","","","","",""
"フランス国立情報学自動制御研究所","[フランス国立情報学自動制御研究所] INRIA （ I nstitut N ational de R echerche en I nformatique et en A utomatique、 フランス国立情報学自動制御研究所）は、 フランス 政府研究省および、 経済・財務省 が共同管理するフランス国立研究所である。 1979年 に、フランスの情報・制御分野の中心となる研究機関として設立された。 フランス国内に8ヶ所の研究施設（ アキテーヌ 、 ブルターニュ 、 ロレーヌ 、 フランシュ＝コンテ 、 イル＝ド＝フランス 、 ノール＝パ・ド・カレー 、 コート・ダジュール 、 ラングドック＝ルシヨン 、 ローヌ＝アルプ ）をもち、3000人以上の職員を抱える大規模な研究所である。","https://ja.wikipedia.org/wiki/フランス国立情報学自動制御研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"フランス国立東洋言語文化研究所","[フランス国立東洋言語文化研究所] 中世のキリスト教会によって設立された ソルボンヌ などの大学と違い、イナルコは近世のフランス絶対王政の高等教育機関として設立されたのである。 ルイ14世 （在位1643-1715）親政下の財務総監の ジャン＝バティスト・コルベール (Colbert) が 重商主義 政策を推進すると、「 東洋 」市場の開拓と東洋の国家との交流を発展させるため、イナルコの前身であった「若手言語学校」（École des jeunes de langues）が設立された（1669年）。 トルコ語 や アラビア語 の翻訳・通訳できる人材の育成がその使命であった。","https://ja.wikipedia.org/wiki/フランス国立東洋言語文化研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"放射線防護・原子力安全研究所","[放射線防護・原子力安全研究所] 放射線防護・原子力安全研究所 （ フランス語 ： Institut de radioprotection et de sûreté nucléaire 、 略称 ： IRSN ）は、 フランス が2002年に組織した原子力安全と放射線防護を目的とした 商工業的公施設法人 で、 国防 、 環境 、 研究 および 産業 および 厚生労働 大臣の共同監督の下で運営される。 原子力安全局 と連携して フランス電力 の安全性や関係規制当局により発行される文書に基いて、放射線防護・原子力安全研究所は特に事件や潜在的事故の放射線の結果について評価し、市民と民間原子力産業の接点として機能する  。本部は オー＝ド＝セーヌ県 クラマール に置かれている。","https://ja.wikipedia.org/wiki/放射線防護・原子力安全研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","http://www.irsn.fr/FR/Pages/Home.aspx","フランス","Institut de radioprotection et de sûreté nucléaire","IRSN","2002年","","","","","","5つの省","約1,700人","","","","","","",""
"ムーズ・オート＝マルヌ地層研究所","[ムーズ・オート＝マルヌ地層研究所] ムーズ・オート＝マルヌ地層研究所 （ フランス語 ： laboratoire de recherche souterrain de Meuse/Haute-Marne 、 略称 ： LSMHM 、または ビュール研究所 ： Laboratoire de Bure ）は、 フランス共和国 ムーズ県 ビュール （ fr:Bure (Meuse) ）に所在する高レベルおよび中レベル 放射性廃棄物 の 深層地下処分 の研究を行う地下研究施設。研究所は 商工業的公施設法人 である 放射性廃棄物管理機関 （ANDRA）によって管理されている。","https://ja.wikipedia.org/wiki/ムーズ・オート＝マルヌ地層研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","北緯48度29分2.00秒東経5度21分27.03秒","http://www.andra.fr/andra-meuse/","フランス,ビュール北緯48度29分2.00秒東経5度21分27.03秒﻿ / ﻿北緯48.4838889度 東経5.3575083度﻿ /48.4838889; 5.3575083","laboratoire de recherche souterrain de Meuse/Haute-Marne","LSMHM","","","","","","","放射性廃棄物管理機関","","","","","","","",""
"アーネンエルベ","[アーネンエルベ] アーネンエルベ （Ahnenerbe、「祖先の遺産」の意）は、 ナチス・ドイツ に存在した公的 研究機関 。 アーリア人種 の 人種学 や 歴史学 の研究を行うことを目的として、 親衛隊 全国指導者 であった ハインリヒ・ヒムラー らによって1935年に設立された。先史時代や神話時代の「 北欧人種 」が世界を支配していたことを証明するための様々な研究活動を行っていた。","https://ja.wikipedia.org/wiki/アーネンエルベ","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
"欧州分子生物学研究所","[欧州分子生物学研究所] 欧州分子生物学研究所 （ European Molecular Biology Laboratory  : EMBL ）は、欧州19か国の出資により 1974年 に創設された 分子生物学 の研究所である。研究所の本部は ドイツ の ハイデルベルク にあり、他に イギリス の ケンブリッジ 近郊のヒンクストン（ 欧州バイオインフォマティクス研究所 （EBI））、 フランス の グルノーブル 、ドイツの ハンブルク 等に研究施設を有する。","https://ja.wikipedia.org/wiki/欧州分子生物学研究所","研究所","https://ja.wikipedia.org/wiki/研究所","箇条書き,制限あり","","","","","","","","","","","","","","","","","","","",""
