"タイトル","コメント","URL","親リストタイトル","親リストURL","一覧抽出方法","座標","所在地","登録路線","登録回","登録日","外部リンク","開駅日","営業時間","公式サイト","分類","運営者","前身","テーマ","キャッチコピー","面積","来園者数","開園","位置","Hidden","Hidden"
"道の駅内子フレッシュパークからり","うちこフレッシュパークからり内子フレッシュパークからり（うちこフレッシュパークからり）喜多郡内子町国道379号愛媛-06全国モデル「道の駅」","https://ja.wikipedia.org/wiki/道の駅内子フレッシュパークからり","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度33分18秒東経132度39分30秒","〒791-3301愛媛県喜多郡内子町大字内子2452","国道379号","第11回（38006）","1996年8月5日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1996年5月","8:00 - 18:00","","","","","","","","","","","",""
"道の駅伊方きらら館","いかたきららかん伊方きらら館（いかたきららかん）西宇和郡伊方町国道197号愛媛-07 ","https://ja.wikipedia.org/wiki/道の駅伊方きらら館","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度28分51秒東経132度18分28秒","〒796-0421愛媛県西宇和郡伊方町九町越","国道197号","第12回（38007）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00（4 - 9月）9:00 - 17:00（10 - 3月）","","","","","","","","","","","",""
"道の駅きなはい屋しろかわ","きなはい屋しろかわ（きなはいやしろかわ）西予市国道197号愛媛-08 ","https://ja.wikipedia.org/wiki/道の駅きなはい屋しろかわ","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度22分47秒東経132度44分58秒","〒797-1717愛媛県西予市城川町下相1008番地1","国道197号","第12回（38008）","1997年4月11日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 18:00","","","","","","","","","","","",""
"道の駅みしょうMIC","みしょうMIC南宇和郡愛南町国道56号愛媛-09 ","https://ja.wikipedia.org/wiki/道の駅みしょうMIC","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯32度57分32秒東経132度33分41秒","〒798-4110愛媛県南宇和郡愛南町御荘平城4296番地1","国道56号","第13回（38009）","1997年10月22日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1997年11月9日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅今治湯ノ浦温泉","いまばりゆのうらおんせん今治湯ノ浦温泉（いまばりゆのうらおんせん）今治市国道196号愛媛-10 ","https://ja.wikipedia.org/wiki/道の駅今治湯ノ浦温泉","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度59分34秒東経133度02分54秒","〒799-1527愛媛県今治市長沢甲252-2","国道317号","第14回（38010）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1999年4月","9:00 - 18:00（7・8月のみ8:30 - 18:30）","","","","","","","","","","","",""
"道の駅虹の森公園まつの","にじのもりこうえんまつの虹の森公園まつの（にじのもりこうえんまつの）北宇和郡松野町国道381号愛媛-11 ","https://ja.wikipedia.org/wiki/道の駅虹の森公園まつの","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度13分47秒東経132度42分35秒","〒798-2102愛媛県北宇和郡松野町大字延野々1510-1","国道381号","第14回（38011）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:30 - 17:00","","","","","","","","","","","",""
"道の駅広見森の三角ぼうし","ひろみもりのさんかくぼうし広見森の三角ぼうし（ひろみもりのさんかくぼうし）北宇和郡鬼北町国道320号愛媛-12 ","https://ja.wikipedia.org/wiki/道の駅広見森の三角ぼうし","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯33度15分14秒東経132度41分13秒","〒798-1333愛媛県北宇和郡鬼北町大字永野市138番地6","国道320号","第14回（38012）","1998年4月17日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","1998年1月16日","9:00 - 18:00","","","","","","","","","","","",""
"道の駅伯方S・Cパーク","はかたS・Cパーク伯方S・Cパーク（はかたS・Cパーク）今治市国道317号愛媛-13 ","https://ja.wikipedia.org/wiki/道の駅伯方S・Cパーク","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度12分10秒東経133度04分32秒","〒794-2114愛媛県今治市伯方町叶浦甲1668-1","国道317号","第15回（38013）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","9:00 - 17:00","","","","","","","","","","","",""
"道の駅今治市多々羅しまなみ公園","いまばりしたたらしまなみこうえん今治市多々羅しまなみ公園（いまばりしたたらしまなみこうえん）今治市国道317号愛媛-14旧名称「上浦町多々羅しまなみ公園」","https://ja.wikipedia.org/wiki/道の駅今治市多々羅しまなみ公園","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度15分18秒東経133度03分16秒","〒794-1402愛媛県今治市上浦町大字井口9180-2","国道317号","第15回（38014）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","","9:00 - 17:00","","","","","","","","","","","",""
"道の駅しまなみの駅御島","しまなみの駅御島（しまなみのえきみしま）今治市県道21号大三島上浦線愛媛-15 ","https://ja.wikipedia.org/wiki/道の駅しまなみの駅御島","道の駅一覧_四国地方","https://ja.wikipedia.org/wiki/道の駅一覧_四国地方","表形式","北緯34度14分56秒東経133度00分19秒","〒794-1304愛媛県今治市大三島町宮浦3260","愛媛県道21号","第15回（38015）","1999年8月27日","国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト","不明","8:30 - 17:00","","","","","","","","","","","",""
