title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期, 海成層 砂岩 前期中新世後期-中期中新世付加体	N12-221_soss_N2	fdf475	253	244	117	新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期	Cenozoic Neogene Miocene late Burdigalian - late Serravallian	付加体	Accretionary complexes	海成層 砂岩 前期中新世後期-中期中新世付加体	marine sandstone late early to middle Miocene accretionary complex
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯	Pg2-N121_msnpe_lks	fe2230	254	34	48	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩 低P/T型広域変成岩　珪線石カリ長石帯	pelitic schist, granofels & gneiss sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
新生代 新第三紀 中新世 後期サーラバリアン期〜トートニアン期, 花崗閃緑岩・トーナル岩 片麻状 島弧・大陸	N22_pin_a	fe3b75	254	59	117	新生代 新第三紀 中新世 後期サーラバリアン期〜トートニアン期	Cenozoic Neogene Miocene late Serravallian - Tortonian	火成岩	Igneous rocks	花崗閃緑岩・トーナル岩 片麻状 島弧・大陸	gneissose granodiolite & tonalite island arc & continental
新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 花崗閃緑岩・トーナル岩 塊状 島弧・大陸	N3_pim_a	fe3f43	254	63	67	新生代 新第三紀 中新世 メッシニアン期〜鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	火成岩	Igneous rocks	花崗閃緑岩・トーナル岩 塊状 島弧・大陸	mssive granodiolite & tonalite island arc & continental
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯	Pg2-N121_msnpe_lkc	fe5532	254	85	50	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩 低P/T型広域変成岩　カリ長石菫青石帯	pelitic schist, granofels & gneiss Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	K122-Pg12_mscsi_hob	fe5f14	254	95	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	siliceous schist oligoclase-biotite zone of high P/T  regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 粘板岩  低P/T型広域変成岩　黒雲母帯	Pg2-N121_msl_lb	fe782a	254	120	42	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	粘板岩  低P/T型広域変成岩　黒雲母帯	slate biotite zone of low P/T regional metamorphic rocks
新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 黒雲母帯	N3_mghps_cb	fe7e3e	254	126	62	新生代 新第三紀 中新世 メッシニアン期〜鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	変成岩	Metamorphic rocks	砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 黒雲母帯	psammitic granofels ( including pasmmitic hornfels ) biotite zone of contact metamorphic rocks
新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 カリ長石菫青石帯	N3_mghps_ckc	fe7e7e	254	126	126	新生代 新第三紀 中新世 メッシニアン期〜鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	変成岩	Metamorphic rocks	砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 カリ長石菫青石帯	psammitic granofels ( including pasmmitic hornfels ) K-feldspar-cordierite zone of contact metamorphic rocks
新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 斜方輝石帯（輝石ホルンフェルス相）	N3_mghps_cph	fe7ebe	254	126	190	新生代 新第三紀 中新世 メッシニアン期〜鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	変成岩	Metamorphic rocks	砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 斜方輝石帯（輝石ホルンフェルス相）	psammitic granofels ( including pasmmitic hornfels ) orthopyroxene zone (pyroxene hornets facies rock) of contact metamorphic rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩　珪線石カリ長石帯	K2-Pg12_mmygr_dks	febe3e	254	190	62	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	花崗岩マイロナイト 変位変成岩　珪線石カリ長石帯	granite mylonite sillmanite-Kfeldspar zone of dislocation metamorphic rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩 ざくろ石菫青石帯	K2-Pg12_mmygr_dgc	febe7e	254	190	126	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	花崗岩マイロナイト 変位変成岩 ざくろ石菫青石帯	granite mylonite garnet-cordierite zone of dislocation metamorphic rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 花崗岩マイロナイト 変位変成岩 斜方輝石帯（グラニュライト相）	K2-Pg12_mmygr_dop	febebe	254	190	190	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	花崗岩マイロナイト 変位変成岩 斜方輝石帯（グラニュライト相）	granite mylonite orthopyroxene zone (granulite facies rock) of dislocation metamorphic rocks
新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期, デイサイト・流紋岩 海洋 前期中新世後期-中期中新世付加体	N12-221_vas_ol_N2	feccd2	254	204	210	新生代 新第三紀 中新世 後期バーディガリアン期〜後期サーラバリアン期	Cenozoic Neogene Miocene late Burdigalian - late Serravallian	付加体	Accretionary complexes	デイサイト・流紋岩 海洋 前期中新世後期-中期中新世付加体	dacite & rhylite oceanic late early to middle Miocene accretionary complex
中生代 前期三畳紀〜後期三畳紀 ノーリアン期, 砂質片岩 中P/T型広域変成岩　角閃岩相	Tr1-32_mscps_mam	fed700	254	215	0	中生代 前期三畳紀〜後期三畳紀 ノーリアン期	Mesozoic Early Triassic - Late Triassic Norian	変成岩	Metamorphic rocks	砂質片岩 中P/T型広域変成岩　角閃岩相	psammitic schist amphibolite facies rock of medium P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 低P/T型広域変成岩　珪線石カリ長石帯	Pg2-N121_msmpe_lks	ff2331	255	35	49	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 低P/T型広域変成岩　珪線石カリ長石帯	pelitic schist, granofels, gneiss & migmatite sillmanite-Kfeldspar zone of low P/T regional metamorphic rocks
新生代 新第三紀 中新世 メッシニアン期〜鮮新世, 花崗閃緑岩・トーナル岩 片麻状 島弧・大陸	N3_pin_a	ff3d7a	255	61	122	新生代 新第三紀 中新世 メッシニアン期〜鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	火成岩	Igneous rocks	花崗閃緑岩・トーナル岩 片麻状 島弧・大陸	gneissose granodiolite & tonalite island arc & continental
新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 花崗閃緑岩・トーナル岩 塊状 島弧・大陸	Q1_pim_a	ff3f3f	255	63	63	新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期	Cenozoic Quaternary Pleistocene Gelasian - Calabrian	火成岩	Igneous rocks	花崗閃緑岩・トーナル岩 塊状 島弧・大陸	mssive granodiolite & tonalite island arc & continental
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 低P/T型広域変成岩　カリ長石菫青石帯	Pg2-N121_msmpe_lkc	ff5633	255	86	51	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 低P/T型広域変成岩　カリ長石菫青石帯	pelitic schist, granofels, gneiss & migmatite Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 珪質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	K11-121_mscsi_hlb	ff5f14	255	95	20	中生代 前期白亜紀 ベリアシアン期〜アプチアン期	Mesozoic Early Cretaceous Berriasian - Aptian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	siliceous schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	Tr22-J31_mscsi_hlb	ff6014	255	96	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	siliceous schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	D3-P1_mscsi_hlb	ff6114	255	97	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	siliceous schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪質片岩 高P/T型広域変成岩　角閃岩相	K122-Pg12_mscsi_ham	ff6214	255	98	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相	siliceous schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 珪質片岩 高P/T型広域変成岩　角閃岩相	K112-121_mscsi_ham	ff6314	255	99	20	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相	siliceous schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪質片岩 高P/T型広域変成岩　角閃岩相	Tr22-J31_mscsi_ham	ff6414	255	100	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相	siliceous schist amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪質片岩 高P/T型広域変成岩　角閃岩相	D3-P1_mscsi_ham	ff6514	255	101	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相	siliceous schist amphibolite facies rock of high P/T  regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 珪質片岩 高P/T型広域変成岩　角閃岩相	Ca-O_mscsi_ham	ff6614	255	102	20	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相	siliceous schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	K122-Pg12_mscsi_hag	ff6714	255	103	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	siliceous schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	K112-121_mscsi_hag	ff6814	255	104	20	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	siliceous schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	Tr22-J31_mscsi_hag	ff6914	255	105	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	siliceous schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	D3-P1_mscsi_hag	ff6a14	255	106	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	siliceous schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	Ca-O_mscsi_hag	ff6b14	255	107	20	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相	siliceous schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪質片岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石	K122-Pg12_mscsi_hec	ff6c14	255	108	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石	siliceous schist high P/T metamorphic rocks experienced eclogite facies regional metamorphism
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪質片岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石	D3-P1_mscsi_hec	ff6d14	255	109	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　エクロジャイト相の変成作用を経験した岩石	siliceous schist high P/T metamorphic rocks experienced eclogite facies regional metamorphism
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪長質片岩 高P/T型広域変成岩　緑泥石帯	K122-Pg12_mscfe_hc	ff6e14	255	110	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 珪長質片岩 高P/T型広域変成岩　緑泥石帯	K112-121_mscfe_hc	ff6f14	255	111	20	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪長質片岩 高P/T型広域変成岩　緑泥石帯	Tr22-J31_mscfe_hc	ff7014	255	112	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪長質片岩 高P/T型広域変成岩　緑泥石帯	D3-P1_mscfe_hc	ff7114	255	113	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 珪長質片岩 高P/T型広域変成岩　緑泥石帯	Ca-O_mscfe_hc	ff7214	255	114	20	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪長質片岩 高P/T型広域変成岩　ざくろ石帯	K122-Pg12_mscfe_hg	ff7314	255	115	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 珪長質片岩 高P/T型広域変成岩　ざくろ石帯	K112-121_mscfe_hg	ff7414	255	116	20	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪長質片岩 高P/T型広域変成岩　ざくろ石帯	Tr22-J31_mscfe_hg	ff7514	255	117	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪長質片岩 高P/T型広域変成岩　ざくろ石帯	D3-P1_mscfe_hg	ff7614	255	118	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks
古生代 カンブリア紀〜オルドビス紀, 珪長質片岩 高P/T型広域変成岩　ざくろ石帯	Ca-O_mscfe_hg	ff7714	255	119	20	古生代 カンブリア紀〜オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪長質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	K122-Pg12_mscfe_hab	ff7814	255	120	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	felsic schist albite-biotite zone of high P/T regional metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪長質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	D3-P1_mscfe_hab	ff7914	255	121	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　アルバイト黒雲母帯	felsic schist albite-biotite zone of high P/T regional metamorphic rocks
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 泥質片岩 低P/T型広域変成岩　黒雲母帯	Pg2-N121_mscpe_lb	ff792b	255	121	43	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	泥質片岩 低P/T型広域変成岩　黒雲母帯	pelitic schist biotite zone of low P/T regional metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪長質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	K122-Pg12_mscfe_hob	ff7a14	255	122	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　オリゴクレース黒雲母帯	felsic schist oligoclase-biotite zone of high P/T  regional metamorphic rocks
中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 珪長質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	K11-121_mscfe_hlb	ff7b14	255	123	20	中生代 前期白亜紀 ベリアシアン期〜アプチアン期	Mesozoic Early Cretaceous Berriasian - Aptian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	felsic schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪長質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	Tr22-J31_mscfe_hlb	ff7c14	255	124	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	felsic schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 珪長質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	D3-P1_mscfe_hlb	ff7d14	255	125	20	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ローソン石青色片岩亜相	felsic schist lawsonite-blueschist subfacies rock of high P/T regional  metamorphic rocks
中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 珪長質片岩 高P/T型広域変成岩　角閃岩相	K122-Pg12_mscfe_ham	ff7e14	255	126	20	中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　角閃岩相	felsic schist amphibolite facies rock of high P/T  regional metamorphic rocks
中生代 前期白亜紀 バランギニアン期〜アプチアン期, 珪長質片岩 高P/T型広域変成岩　角閃岩相	K112-121_mscfe_ham	ff7f14	255	127	20	中生代 前期白亜紀 バランギニアン期〜アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　角閃岩相	felsic schist amphibolite facies rock of high P/T  regional metamorphic rocks
新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 黒雲母帯	Q1_mghps_cb	ff7f3f	255	127	63	新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期	Cenozoic Quaternary Pleistocene Gelasian - Calabrian	変成岩	Metamorphic rocks	砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 黒雲母帯	psammitic granofels ( including pasmmitic hornfels ) biotite zone of contact metamorphic rocks
新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 カリ長石菫青石帯	Q1_mghps_ckc	ff7f7f	255	127	127	新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期	Cenozoic Quaternary Pleistocene Gelasian - Calabrian	変成岩	Metamorphic rocks	砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 カリ長石菫青石帯	psammitic granofels ( including pasmmitic hornfels ) K-feldspar-cordierite zone of contact metamorphic rocks
新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期, 砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 斜方輝石帯（輝石ホルンフェルス相）	Q1_mghps_cph	ff7fbf	255	127	191	新生代 第四紀 更新世 ジェラシアン期〜カラブリアン期	Cenozoic Quaternary Pleistocene Gelasian - Calabrian	変成岩	Metamorphic rocks	砂質グラノフェルス（砂質ホルンフェルスを含む）  接触変成岩 斜方輝石帯（輝石ホルンフェルス相）	psammitic granofels ( including pasmmitic hornfels ) orthopyroxene zone (pyroxene hornets facies rock) of contact metamorphic rocks
中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期, 珪長質片岩 高P/T型広域変成岩　角閃岩相	Tr22-J31_mscfe_ham	ff8014	255	128	20	中生代 後期三畳紀 ラディニアン期〜後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　角閃岩相	felsic schist amphibolite facies rock of high P/T  regional metamorphic rocks
