title	symbol	value	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en
新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期, 礫質片岩 低P/T型広域変成岩　カリ長石菫青石帯	Pg2-N121_msccg_lkc	966514	150	101	20	新生代 古第三紀 始新世 ルテシアン期〜新第三紀 中新世 後期バーディガリアン期	Cenozoic Paleogene Eocene Lutetian - Neogene Miocene late Burdigalian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　カリ長石菫青石帯	conglomerate schist Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
新生代 第四紀 更新世 カラブリアン期, 粗面安山岩 貫入岩	Q12_via_ai	96703e	150	112	62	新生代 第四紀 更新世 カラブリアン期	Cenozoic Quaternary Pleistocene Calabrian	火成岩	Igneous rocks	粗面安山岩 貫入岩	trachyandesite intrusives rocks
中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期, 海成層 崩壊堆積物	K22_sod	969696	150	150	150	中生代 後期白亜紀 カンパニアン期〜マーストリヒチアン期	Mesozoic Late Cretaceous Campanian - Maastrichtian	堆積岩	Sedimentary rocks	海成層 崩壊堆積物	marine collapse sediments
古生代 カンブリア紀, 花崗閃緑岩・トーナル岩 塊状 島弧・大陸	Ca_pim_a	970002	151	0	2	古生代 カンブリア紀	Paleozoic Cambrian	火成岩	Igneous rocks	花崗閃緑岩・トーナル岩 塊状 島弧・大陸	mssive granodiolite & tonalite island arc & continental
古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	D3-P1_msgul_hag	9700a0	151	0	160	古生代 後期デボン紀〜ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	超苦鉄質片麻岩・超苦鉄質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相	ultramafic gneiss & schist amphibolite or granulite facies rocks of high P/T regional metamorphic rocks
中生代 前期ジュラ紀〜中期ジュラ紀, 斑れい岩 島弧・大陸	J1-2_pbg_a	970e6c	151	14	108	中生代 前期ジュラ紀〜中期ジュラ紀	Mesozoic Jurassic Early - Middle	火成岩	Igneous rocks	斑れい岩 島弧・大陸	gabbro island arc & continental
中生代 後期ジュラ紀〜前期白亜紀 バレミアン期, 斑れい岩・閃緑岩・石英閃緑岩 海洋 後期ジュラ紀-前期白亜紀の苦鉄質岩類に富む付加体	J3-K11_pb_o_Jb	971212	151	18	18	中生代 後期ジュラ紀〜前期白亜紀 バレミアン期	Mesozoic Late Jurassic - Early Cretaceous Barremian	付加体	Accretionary complexes	斑れい岩・閃緑岩・石英閃緑岩 海洋 後期ジュラ紀-前期白亜紀の苦鉄質岩類に富む付加体	Gabbro, diorite & quartz diorite oceanic Late Jurassic to Early Cretaceous accretionary complex rich in mafic rocks
新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期, アルカリ玄武岩・粗面玄武岩 貫入岩	N2_vba_ai	974f86	151	79	134	新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期	Cenozoic Neogene Miocene late Langhian - Tortonian	火成岩	Igneous rocks	アルカリ玄武岩・粗面玄武岩 貫入岩	alkalibasalt & trachybasalt intrusives rocks
中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期, 礫質片岩 低P/T型広域変成岩　カリ長石菫青石帯	K2-Pg12_msccg_lkc	976514	151	101	20	中生代 後期白亜紀〜新生代 古第三紀 暁新世 セランディアン期	Mesozoic Late Cretaceous - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	礫質片岩 低P/T型広域変成岩　カリ長石菫青石帯	conglomerate schist Kfeldspar-cordierite zone of low P/T regional metamorphic rocks
新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期, 粗面安山岩 貫入岩	Pg4_via_ai	977260	151	114	96	新生代 古第三紀 漸新世 チャッティアン期〜新第三紀 中新世 アキタニアン期	Cenozoic Paleogene Oligocene Chattian - Neogene Miocene Aquitanian	火成岩	Igneous rocks	粗面安山岩 貫入岩	trachyandesite intrusives rocks
