# 20万分の1日本シームレス地質図V2
"RGB","comment"
"033a3b","[Ca-O_msmpe_ham] 古生代 カンブリア紀〜オルドビス紀, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"03406c","[D3-P1_mrga_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯"
"035d98","[K112-121_msgpe_hag] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"036a98","[K122-Pg12_mscpe_hag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"036a99","[K122-Pg12_mgmpe_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"036ce9","[K112-121_mscpe_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相"
"037100","[D3-P1_mpyma_hc] 古生代 後期デボン紀〜ペルム紀 シスウラリアン世, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯"
"038aff","[K12_sol] 中生代 前期白亜紀 アプチアン期〜アルビアン期, 海成層 石灰岩"
"041202","[Ca-O_msgpe_ham] 古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相"
"043b3c","[Ca-O_msmpe_hag] 古生代 カンブリア紀〜オルドビス紀, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"04406c","[Ca-O_mrga_hc] 古生代 カンブリア紀〜オルドビス紀, 変成斑れい岩 高P/T型広域変成岩　緑泥石帯"
"046b99","[K122-Pg12_msmpe_mam] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相"
"046b9a","[K122-Pg12_mgmpe_hag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"046dea","[K112-121_mscpe_hag] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"047100","[Ca-O_mpyma_hc] 古生代 カンブリア紀〜オルドビス紀, 苦鉄質千枚岩 高P/T型広域変成岩　緑泥石帯"
"051303","[Ca-O_msgpe_hag] 古生代 カンブリア紀〜オルドビス紀, 泥質片麻岩・泥質グラノフェルス 高P/T型広域変成岩　角閃岩相・グラニュライト相"
"053482","[P_pu_o] 古生代 ペルム紀, 超苦鉄質岩類 海洋"
"05406c","[K122-Pg12_mrga_hg] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 変成斑れい岩 高P/T型広域変成岩　ざくろ石帯"
"056c9a","[K122-Pg12_msmpe_mag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 中P/T型広域変成岩　角閃岩相・グラニュライト相"
"056c9b","[K122-Pg12_msgpe_mam] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質グラノフェルス 中P/T型広域変成岩　角閃岩相"
"056eeb","[K112-121_msmpe_ham] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"057100","[K11-121_mpyma_hlb] 中生代 前期白亜紀 ベリアシアン期〜アプチアン期, 苦鉄質千枚岩 高P/T型広域変成岩　ローソン石青色片岩亜相"
"06406c","[K112-121_mrga_hg] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 変成斑れい岩 高P/T型広域変成岩　ざくろ石帯"
"066d9b","[K122-Pg12_msmpe_ham] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相"
"066d9c","[K122-Pg12_msgpe_mag] 中生代 前期白亜紀 アルビアン期〜新生代 古第三紀 暁新世 セランディアン期, 泥質片麻岩・泥質グラノフェルス 中P/T型広域変成岩　角閃岩相・グラニュライト相"
"066fec","[K112-121_msmpe_hag] 中生代 前期白亜紀 バランギニアン期〜アプチアン期, 泥質片岩・泥質グラノフェルス・泥質片麻岩・泥質ミグマタイト 高P/T型広域変成岩　角閃岩相・グラニュライト相"
